"""Stiftungsverzeichnis Mecklenburg-Vorpommern Nummer 18439"""
"01880430723, Finanzamt Fulda"
16928
169284
16929
16945
169481B
16953
169532
169585718
169633893
16966
169661
16970
169750
169815101
169891539
1699
16EBS1001A
16EBS1002A
16EBS1002B
16EBS1004A
16EBS1005A
16EBS1006A
16EBS1007A
16EBS1008A
16EBS1009A
16EBS1010A
16EBS1011A
16EBS2001A
16EBS2002A
16EBS2003A
16EBS2004A
16EBS2005A
16EBS2006A
16EBS2006B
16EBS2007A
16EBS2008A
16EBS2008B
16EBS2009A/B
16EBS2009E
16EBS2009G
16EBS2010A/B
16EBS2011A
16EBS2012A
16EBS2013A/B
16EBS2014A/B
16EBS2015A/B
16EBS2016A/B
16EBS2017A
16EBS2017C
16EBS2017E
16EBS2017G
16EBS2017K
16EBS2020A/B
16EBS2021A
16EBS2022A
16EBS2022C
16EBS2022E
16EBS2022G
16EBS2023A
16EBS2024A
16EBS2024B
16EBS2025A/B
16EBS2026A
16EBS2027A
16EBS2027C
16EBS2027E
16EBS2028A
16EBS2029A
16EBS2031A/B
16EBS2032A
16EBS2033A
16EBS2034A
16EBS2035A
16EBS2036A/B
16EBS2037A
16EBS2039A
16EBS2040B
16EBS2041A
16EBS2043A
16EBS2044A
16EM3165-1
16EM3165-2
16EM3166-1
16EM3166-4
16EM4002-2
16EM4002-3
16EM4007-1
16EM4008-4
16EM4008-5
16EM4009-1
16EM5002-1
16EM5002-3
16EM5004-1
16EM5010-1
16EM6001-4
16EM6002-3
16EMS081-1
16EMS082-1
16EMS083-1
16EMS084-1
16HB1017
16SM10002U
16SM10111U
16SM10112U
16SM10119U
16SM10276U
16SM10537U
16SM10957U
16SM20158U
16SM20242U
17 286 0359
17/453/00096
17/453015990
17/837/01614
170
17007
170074
17009
170156
170282899
17029
17033
17034
17036
170377
1704
17045
170485411
17053
170538935
1707
17079
1708
170856
17087
170926147
17094
17098
171 111 0116
171 113 0106
171 117 0046
171 135 0088
171/141/13522
171/144/04098
171/164/31203
171/175/50109
1710
17121
17123
1713
17139
17148
171491799
17153
17159
17168
17177
17179
1719
17192
17194
172
172 111 0067
172 114 0139
172 124 0095
172 130 0201
172 132 0071
172 134 0102
172 134 0133
17206
17207
17207 P
17209
1721140047
1721160056
1721170042
17212
1721290081
17213
1721320026
1721320028
1721320103
17217
1722411292
1722659808
1722682888
17235
17248
17252
17255
17258
17268
172689448
17279
17280
172835781
17290
172905
17291
17297
172978523
173
173 118 0032
17302
1731120145
1731240018
1731240059
173127691
1731330067
1731340026
1731350052
1731350146
1732
17322
17325
17331
173345400
173349399
17336
17337
173393
173429
17343
17345
17348
17350
173520
17358
173590791
173620972
17367
17369
17372
17373
173859735
1739
174
174 113 0158
174 118 0132
174 131 0273
174 137 0014
174 143 0199
174 147 0089
174 147 0203
1740
174048
174049
174087011
17414
17419
17424
1742801264
17429
1743
17438
1744
17440
17449
174521
17454
17459
17466
174667329
1747
174723
174738091
17477
174823527
17489
17491
17493
17495
175 111 0068
175 121 0146
175 132 0143
175 135 0029
17506
17509
17513
17516
175231499
175322
17535
17539
1756
175600
17574
17581
17582
17587
175887425
17589
175898
175923
176 121 0055
176 123 0219
176 129 0244
176 129 0328
176 155 0270
176 160 0071
176 160 0210
176 164 0132
1761180013
1761200258
176145
176207448
17621
17625
17641
17643
176491
17663
176734
1769
17692
176972406
177 116 0140
177 117 0139
177 120 0076
177 124 0060
177 127 0247
177 130 0002
177 137 0163
1770
177055760
17711
177216
17723
17725
177315
17736
17740
177464839
17747
17749
1775
17754
17764
177821
177859395
177859467
177859872
177888676
177893
177896
17790
17793
178 129 0066
178 132 0112
178 133 0046
178 138 0032
178 142 0129
178 145 0155
178 157 0033
1781
17810
178112720
17815
17819
17823
178269
17828
17829
178296
17846
178543450
178698690
17878378
17884
178902
17895
17898
179 113 0086
179 113 0142
179 117 0092
179 121 0103
179 123 0155
179 134 0102
179 134 0132
179 134 0297
179 138 0119
179 145 0120
1790
179180495
179180B
179184184
179222042
179280481
179340
17943
179479
17957
17960
17968
1797
179732585
179768
1798
179912652
179935021
17999
18/153/00046
18/290/01378
18/291/17401
18/296/02904
180
180 112 0051
180 124 0079
180 124 0105
180 127 0053
180 134 0123
180 degrees | 48653
1800
18000
180091
1801120080
1801160047
1801170109
1801230109
1801240705
1801290059
180160012
180204
180212
18029
180334B
180382
1804501086
180488
18049
18055
18057
180570194
18059
18069
180802009
18095
181 118 0032
181 127 0124
181 130 0180
181 132 0182
181 145 0141
181 145 0212
181045B
18105
18105/56204
18106/27371
1810657805
18107
18109
18109/25875
181098
1811
18111/48290
18113/55022
18114/10056
18115/44926
18116/05003
18119
1812909708
18130/92038
181306
18133/39850
18135
18136/43233
18139
1814
18140/23874
18144/43003
18144/56629
1814425874
18145/22440
18146
18147
18149/02912
18156/16061
18159/53605
181618
181633
181787
1818
1818 Stralsund
18180/28412
18181
18182
18183/06506
18184
181842
181857
181870546
1819
18190
18190 / 33266
18195
18196
18198
18199
182
182 119 0018
182 120 0338
182 127 0053
18202/65890
18202/75405
18203/09007
18203/32303
18203/49030
18209
182108
18211
1821140030
1821140108
1821140119
1821140218
1821160042
1821160225
1821190076
18212
1821310031
182175
182220
18225
18230
18236
18239
18244
18246
182473377
182476
182683 B
182723
18273
18276
18285
1829027216
1829044986
18299
183 114 0290
183 118 0172
183 119 0099
183 129 0061
18300/39389
18301/32007
183047652
18308
18309
18311
18314
18316/11677
18317
18325
18327/25016
183285
1833
183314
18334
18335
18337
183401804
18347
1835
183500
18351
18356
18374
18375
1837811453
18389
183900492
183994
184 137 0007
18407
184096502
1841
1842
1843
18435
18437
18438/27019
18439
18441 P
18442
18445
184500411
184604348
184619798
18462/31296
184629170
18465/04512
184889
18492
185 113 0087
185 125 0056
185 125 0133
185 131 0299
1850
1850 Lüneburg
18507
185142
18517
18519
18528
1853
185318
185429418
185446100
18546
1855
18551
185525952
18556
18560
18569
185695
185698484
1857
18573
185740
185743693
18577
18581
185837B
18584
185859993
18586
1859
186
186 143 0481
186 143 0855
186 151 0161
18609
186138703
1864849857
18651
18654
186591
18685
186906802
186928
186971
187 130 0303
187 156 0071
187 157 0053
187 164 0040
187 165 0160
187 174 0024
187 176 0116
187102
1871140007
1871140122
1871300184
1871630115
18725
18732
187344699
1874
187474616
18758
187594
187666603
18769
1877
1878
187896
18792
18799
187993640
188
188 137 0701
1880
18829
1883
188307
188451
188478
18854
18856
18868
188784898
1888
188837979
188900
188948
188998253
189 115 0116
189 118 0133
189 127 0274
189 133 0099
189 140 0201
189 157 0116
1890
18902
189067
1891
1891130128
1891200037
1891200082
189127293
189128751
1891390048
1891400008
1891400067
1891400076
1891400115
1891400119
1891410022
1891410128
1891600030
1891600040
1893
18935
1894
189439168
18944
189604
18964
189687517
189732
189766
18995
189962145
18999
19.06.2155
19/020/4028/6
19/201/17102
19/479/00150
190
190 111 0050
190 154 0027
190 154 0098
190 157 0131
190 158 0140
190046722
19005/37004
190108
1901170116
1901380117
1901430039
1901540220
1902
190283907
1904
19040/03500
19040/18809
19040/36703
190423
190458251
190482418
190527925
19053
19055
19057
19060/00902
19060/01267
19060/03549
19060/05884
19060/06046
19060/25400
19060/25418
19061
190671
19069
19073
190743905
19076
19079
190875858
190930
190988
191051508
19127
19134
19141
19145
191570042
1916
191736
19176
19176/36532
191811
191844674
191897686
19201
19205
19209
192123514
192167986
19217
192185852
192188248
19223
192294917
1923 BS
19230
192361
192394
192413404
19243
19243/00058
19258
1927
19283
192836288
192876
19288
19294
19300
19301
19303 / 04360
19306
19309
193190292
19322
19325
1934
19346
19348
1935
19357
19360
19368
19369
19370
19374
1938
193821575
19386
193917820
19392
1940
194057
19406
194114
19412
194141
194160
1942
19421
19425 KI
194402
194402B
194746164
194748131
1949
195020
1951
19510620116
195402
19549
19550
19554
195570149
1956
195654
19570840022
1958
19582
19588
195896
19591320093
196050207
196064
196064713
19613
196218347
19626
196261
196269
19649
196619
196667
196694111
196715810
1968
196846096
196858627
196932331
19694
19695
196993
197
1970
19723
197300
1974 m.ü.M. GmbH | 97082
197427
19744
197481475
1978
197951803
198
19804
19805
198145327
198153
1983
19832
19834
198344
1984588  (Charlottenburg)
198703684
198736
198754342
198787
19897
198979
199
19904
19910
19911
199149
19916
199199 B
199317
1994
199406
199561125
199610940
199678
199865
19996
1a Visum Service OHG | 13353
20/002/90112
20/235/70306
20/291/45265
20/292/47391
20/296/70958
20/297/12979
20/298/08266
2000000
20001
20001/05557
20001/23729
20002/05625
20002/067683
20002/07722
20002/14312
20002/18826
20002/25478
20002/96900
20002/97464
2000296900
20003/01176
20003/03073
20003/04267
2000300745
200033458
20004/00105
20004/00146
20004/04699
20004/05247
20004/06352
200042
200068072
200069
200076128
200090
200095
200097972
20011
200123
200136
200146
20015
20015/01628
20015/07300
200160
200174
200182
200185
200190
200198
200201
200203
200228
200234
200246 Augsburg
200251
200258
20029/17205
20029/30800
20029/35409
20029/37129
20029/39403
20029/44889
200331
200354
200357B
200359
20037
200387
200401B
200405
200458
200472
20051538
20054/03320
2006
20063/02076
200647
200654
200709
200748
200772
200801 (Amtsgericht München)
200808
200832
20085 / 35907
200856
200888
20092
20095
200961
20097
200977866
20099
201/137/50031
20100
2010106533
201018443
201036
201070
201084
201089
20117
20127/15496
201304
201345
20135
20138
2014
201416
20144
20146
20148
20149
201493
2015 FE 9088
2015 FE 9110
2015 FE 9149
201548189
20155/37704
201550
20158403461
20159753516
2016 BB 0009
2016 DMO 0013
2016 FE 0037
2016 FE 0038
2016 FE 0056
2016 FE 0061
2016 FE 0097
2016 FE 0105
2016 FE 0120
2016 FE 0124
2016 FE 0139
2016 FE 0140
2016 FE 0141
2016 FE 0154
2016 FE 9051
2016 FE 9113
2016 FE 9133
2016 FE 9135
2016 FE 9147
201662
2017 BB 0001
2017 BB 0002
2017 BB 0003
2017 BB 0004
2017 BB 0005
2017 BB 0006
2017 BB 0007
2017 BB 0008
2017 BB 0009
2017 BB 0010
2017 BB 0011
2017 BB 0012
2017 BB 0013
2017 BB 0014
2017 BB 0015
2017 BB 0016
